DBN,School,District,Borough,Schoolnum,ThreeELA,ThreeMath,FourELA,FourMath,FiveELA,FiveMath,SixELA,SixMath,SevenELA,SevenMath,EightELA,EightMath,AllGradeELA,AllGradeMath
09X229,I.S. 229 ROLAND PATTERSON,9,Bronx,229,,,,,,,5.88,5.41,3.61,6.90,7.41,3.49,5.60,5.26
30Q230,I.S. 230,30,Queens,230,,,,,,,41.04,46.70,51.77,53.08,58.31,56.04,49.83,51.65
09X232,I.S. 232,9,Bronx,232,,,,,,,10.83,8.96,15.43,2.00,21.26,6.72,16.45,5.74
25Q237,I.S. 237,25,Queens,237,,,,,,,46.02,60.34,44.90,68.11,50.92,63.99,47.31,64.07
29Q238,I.S. 238 - SUSAN B. ANTHONY ACADEMY,29,Queens,238,,,,,,,20.76,23.44,15.90,10.82,27.50,3.89,21.41,13.37
25Q250,I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL,25,Queens,250,,,,,,,24.00,32.82,22.69,30.89,35.79,30.10,26.84,31.37
10X254,I.S. 254,10,Bronx,254,,,,,,,7.26,11.76,15.43,13.07,17.46,25.36,13.65,16.44
21K281,I.S. 281 JOSEPH B CAVALLARO,21,Brooklyn,281,,,,,,,33.62,46.15,30.81,47.93,46.46,52.64,37.29,49.02
18K285,I.S. 285 MEYER LEVIN,18,Brooklyn,285,,,,,,,16.87,14.20,18.96,11.85,40.43,18.22,27.52,15.11
02M289,I.S. 289,2,Manhattan,289,,,,,,,54.74,63.16,80.21,72.92,74.70,70.73,69.71,68.86
21K303,I.S. 303 HERBERT S. EISENBERG,21,Brooklyn,303,,,,,,,23.93,27.22,42.86,38.36,49.71,8.20,38.91,25.63
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,9,Bronx,313,,,,,,,6.41,6.90,5.49,9.18,16.85,9.18,9.69,8.48
14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,14,Brooklyn,318,,,,,,,31.87,30.37,36.89,37.26,35.23,12.64,34.73,29.04
09X339,I.S. 339,9,Bronx,339,,,,,,,8.55,9.80,6.49,6.17,15.67,2.03,10.00,6.05
17K340,I.S. 340,17,Brooklyn,340,,,,,,,40.30,19.40,24.64,18.84,32.73,12.96,32.46,17.37
32K347,I.S. 347 SCHOOL OF HUMANITIES,32,Brooklyn,347,,,,,,,16.67,15.96,16.87,20.00,28.30,26.42,21.15,21.05
32K349,"I.S. 349 MATH, SCIENCE & TECH.",32,Brooklyn,349,,,,,,,9.76,3.66,14.77,6.38,22.73,6.90,16.43,5.82
19K364,I.S. 364 GATEWAY,19,Brooklyn,364,,,,,,,23.40,14.58,13.59,8.74,46.88,21.21,27.65,13.96
23K392,I.S. 392,23,Brooklyn,392,,,,,,,51.09,54.35,79.55,59.09,70.49,0.00,66.39,55.14
31R049,I.S. 49 BERTA A. DREYFUS,31,Staten Island,49,,,,,,,17.62,7.11,17.30,11.34,23.95,1.75,19.76,6.87
24Q005,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,24,Queens,5,,,,,,,47.24,49.52,43.61,52.68,49.38,38.78,46.74,47.49
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,6,Manhattan,528,,,,,,,16.67,8.62,24.44,8.70,25.00,12.28,21.74,9.94
24Q073,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,24,Queens,73,,,,,,,34.33,50.67,42.84,45.99,50.93,50.08,43.03,48.77
21K098,I.S. 98 BAY ACADEMY,21,Brooklyn,98,,,,,,,87.82,91.93,86.09,90.97,83.41,85.65,85.86,89.64
31R002,I.S. R002 GEORGE L. EGBERT,31,Staten Island,2,,,,,,,36.46,28.78,43.94,30.19,37.50,5.96,39.31,24.35
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,9,Bronx,303,,,,,,,21.14,12.20,28.21,11.69,27.06,23.53,24.83,15.44
12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",12,Bronx,318,,,,,,,1.04,9.38,17.44,21.84,12.82,7.69,10.00,13.03
